def_name,def_pos,off_name,off_pos,route,ipa,comp_prob,result,epa
Za'Darius Smith,OLB,Charles Clay,TE,FLAT,20.963335037231445,0.5531125068664551,I,0.5511319986826589
Tyus Bowser,OLB,LeSean McCoy,RB,SCREEN,-0.39765238761901855,0.9822291135787964,C,1.0110236439042901
Brandon Carr,CB,Kelvin Benjamin,WR,SLANT,48.56892377138138,0.21573959290981293,IN,5.34807027639077
Marlon Humphrey,CB,Zay Jones,WR,GO,6.1391763389110565,0.12245330959558487,I,0.931498382958682
Tyus Bowser,OLB,Charles Clay,TE,GO,-0.0007033562724245712,6.142081110738218e-05,I,0.36378785214207
Brandon Carr,CB,Andre Holmes,WR,IN,-0.008243322372436523,0.6456651091575623,C,-1.7058860620680902
Brandon Carr,CB,Kelvin Benjamin,WR,,21.47386223077774,0.0906132310628891,I,-1.56535568274891
Brandon Carr,CB,Kelvin Benjamin,WR,POST,6.36022686958313,0.8536655902862549,I,0.34601614508335704
Lorenzo Alexander,OLB,Lamar Jackson,QB,,0.4567240132018924,0.0026076582726091146,I,0.908704254021348
Tremaine Edmunds,LB,Mark Andrews,TE,CROSS,37.243157625198364,0.4213305711746216,I,1.7402727303051901
Tony Jefferson,SS,Marcus Murphy,RB,FLAT,0.4328906536102295,0.9299418926239014,I,0.544723766156528
Tavon Young,CB,Kelvin Benjamin,WR,HITCH,-0.02508941834094003,0.0003504457708913833,I,0.8796497671371191
Tony Jefferson,SS,Logan Thomas,TE,POST,6.1339616775512695,0.38275402784347534,C,-3.4600612903772205
Kenny Young,LB,Zay Jones,WR,OUT,-0.8799970149993896,0.9382607936859131,C,0.37891595389611105
Tony Jefferson,SS,Logan Thomas,TE,POST,13.522940874099731,0.7528838515281677,I,1.64219381499311
Tremaine Edmunds,LB,Maxx Williams,TE,IN,-1.8805503845214844,0.851089358329773,C,-2.50211311423782
Anthony Averett,CB,Robert Foster,WR,GO,5.031940340995789,0.22587206959724426,I,0.365271040019535
Tavon Young,CB,Jeremy Kerley,WR,OUT,32.415831089019775,0.2947807312011719,I,1.2804981578249
Maurice Canady,CB,Zay Jones,WR,HITCH,10.13990044593811,0.5897030830383301,C,-0.40516225928598903
Tony Jefferson,SS,Jason Croom,TE,CROSS,-0.3405570983886719,0.961170494556427,C,-0.161599940894965
Maurice Canady,CB,Zay Jones,WR,IN,23.510074615478516,0.3530322313308716,C,-0.84902488015113
Tavon Young,CB,Jeremy Kerley,WR,CORNER,-0.8609645068645477,0.09657873958349228,I,0.14494024045798498
Christian Kirksey,OLB,Ben Roethlisberger,QB,,11.633026599884033,0.7546232342720032,C,0.5869005033716639
Briean Boddy-Calhoun,CB,Antonio Brown,WR,SLANT,4.128992557525635,0.8474223017692566,I,1.69507033052963
Jon Bostic,ILB,David Njoku,TE,CROSS,0.6848573684692383,0.677068829536438,C,0.844151365537765
Jon Bostic,ILB,David Njoku,TE,GO,6.6484615206718445,0.21630923449993134,I,0.49211651544076795
Mike Hilton,CB,Jarvis Landry,WR,SLANT,56.87212944030762,0.20599031448364258,I,1.7529448949615902
Jamie Collins,OLB,James Conner,RB,ANGLE,0.9550750255584717,0.774045467376709,C,-0.938696543445416
Christian Kirksey,OLB,Ryan Switzer,WR,IN,-2.5187909603118896,0.6777357459068298,I,0.911614437165099
Genard Avery,LB,Jesse James,TE,FLAT,2.629995346069336,0.5118621587753296,C,1.7707037393503502
Vince Williams,ILB,Carlos Hyde,RB,ANGLE,-1.959604024887085,0.8488017916679382,I,0.5548259098423679
Morgan Burnett,SS,Duke Johnson,RB,ANGLE,16.66259765625,0.5934044122695923,I,1.6329350647250398
Denzel Ward,CB,Justin Hunter,WR,GO,0.5195565521717072,0.02603810839354992,I,0.4784731841483761
Denzel Ward,CB,Justin Hunter,WR,OUT,-10.408157110214233,0.8084217309951782,I,0.8740537440633349
Briean Boddy-Calhoun,CB,JuJu Smith-Schuster,WR,GO,-32.68856704235077,0.46690070629119873,C,-2.7504138781842
Jamie Collins,OLB,Antonio Brown,WR,HITCH,43.11751872301102,0.23985670506954193,IN,4.03652663587018
Bud Dupree,OLB,Jarvis Landry,WR,HITCH,2.293941378593445,0.3357813358306885,I,1.6385524300750198
Vince Williams,ILB,Carlos Hyde,RB,SCREEN,3.722357749938965,0.7633917331695557,C,0.688523816006029
Christian Kirksey,OLB,Jesse James,TE,FLAT,28.250497579574585,0.33241474628448486,C,-3.9877249865907403
Derrick Kindred,SS,Jesse James,TE,GO,-32.99897313117981,0.6382835507392883,C,-0.852937894172208
Genard Avery,LB,Antonio Brown,WR,SCREEN,-3.5452067852020264,0.6627013087272644,C,-0.0433741562976744
Jamie Collins,OLB,James Conner,RB,ANGLE,-2.4314582347869873,0.8857389092445374,I,0.36473020693075897
Terrance Mitchell,CB,Justin Hunter,WR,,9.592445194721222,0.20969007909297943,I,-0.7968739290550401
Joe Haden,CB,Jarvis Landry,WR,GO,-8.927333354949951,0.44922035932540894,C,-2.5721692130453198
Jon Bostic,ILB,Tyrod Taylor,QB,,25.06817951798439,0.0825112983584404,I,0.384901713974521
Terrell Edmunds,DB,Jarvis Landry,WR,,50.26957094669342,0.25529226660728455,IN,-1.3616124434880803
Vince Williams,ILB,Tyrod Taylor,QB,,13.215243816375732,0.7586544156074524,C,2.7340496430741297
Damarious Randall,CB,Antonio Brown,WR,POST,28.16951274871826,0.3005675673484802,IN,1.47568157721255
T.J. Watt,OLB,Darren Fells,TE,FLAT,-3.6732256412506104,0.9141337871551514,C,-1.14737680191946
Terrance Mitchell,CB,Antonio Brown,WR,SCREEN,-0.3839552402496338,0.9712368845939636,C,-0.728252073716548
Genard Avery,LB,James Conner,RB,FLAT,7.423126697540283,0.6934648752212524,C,-0.587448981383027
Jamie Collins,OLB,JuJu Smith-Schuster,WR,CROSS,49.307483434677124,0.3409421443939209,C,-0.5821826440896469
Terrance Mitchell,CB,Antonio Brown,WR,CORNER,-0.22127479314804077,0.2048768848180771,I,0.170929211882419
Briean Boddy-Calhoun,CB,Jesse James,TE,,-2.3332834243774414,0.8660780191421509,IN,4.24874031813317
Christian Kirksey,OLB,JuJu Smith-Schuster,WR,SLANT,-7.2692930698394775,0.9087502360343933,C,-4.1468096118751
Denzel Ward,CB,Antonio Brown,WR,GO,4.510834813117981,0.13313864171504974,C,-2.8563167293399103
Vince Williams,ILB,David Njoku,TE,FLAT,6.165820360183716,0.7740037441253662,C,-0.37807740463744605
Joe Haden,CB,Jarvis Landry,WR,GO,5.626128613948822,0.24266712367534637,I,0.5561838230544399
Terrell Edmunds,DB,Duke Johnson,RB,SLANT,5.392968654632568,0.749332070350647,I,0.525078522574279
Mike Hilton,CB,Jarvis Landry,WR,GO,-54.69798445701599,0.7394578456878662,C,-4.30964308619614
Joe Haden,CB,Josh Gordon,WR,POST,27.85453200340271,0.2772746682167053,I,0.457737947613985
Vince Williams,ILB,David Njoku,TE,GO,-14.125239849090576,0.9032344222068787,I,0.842358268407014
Terrell Edmunds,DB,David Njoku,TE,OUT,28.33840847015381,0.5350996851921082,I,1.73135835740792
Terrance Mitchell,CB,Justin Hunter,WR,OUT,29.25965189933777,0.2638470530509949,C,-1.9812698308196102
Terrance Mitchell,CB,Antonio Brown,WR,CROSS,14.05874490737915,0.7147275805473328,C,-2.6712460098548396
Terrance Mitchell,CB,JuJu Smith-Schuster,WR,SCREEN,0.25013089179992676,0.9295384883880615,I,0.471953645973808
Terrance Mitchell,CB,Antonio Brown,WR,SLANT,-26.06196403503418,0.8756924867630005,I,0.360872500403108
Artie Burns,CB,Josh Gordon,WR,,11.187444999814034,0.04505148157477379,I,-1.6211817609107801
Bud Dupree,OLB,Jarvis Landry,WR,IN,0.9808778762817383,0.7778613567352295,C,0.135826941554111
Mike Hilton,CB,David Njoku,TE,FLAT,1.4196991920471191,0.8471437692642212,C,1.2713166482879898
Terrance Mitchell,CB,Antonio Brown,WR,OUT,16.39833003282547,0.16209776699543,I,1.2262882337332501
Vince Williams,ILB,Tyrod Taylor,QB,,48.394642770290375,0.1854480654001236,I,0.410000949431082
Mike Hilton,CB,Jarvis Landry,WR,OUT,11.21736764907837,0.12776996195316315,I,0.776346986063277
Cameron Sutton,CB,Rashard Higgins,WR,GO,-0.047032907605171204,0.06048089638352394,I,0.21467631248194102
Artie Burns,CB,Antonio Callaway,WR,GO,-10.230375081300735,0.20902866125106812,I,0.44889188440037103
Vince Williams,ILB,Tyrod Taylor,QB,,27.363258600234985,0.5664636492729187,I,1.01321753490231
Mike Hilton,CB,Jarvis Landry,WR,GO,-29.878851771354675,0.6339418888092041,I,3.6056911637219704
Briean Boddy-Calhoun,CB,JuJu Smith-Schuster,WR,CROSS,8.847278356552124,0.6687294840812683,C,-0.9748600881155629
Mike Hilton,CB,Jarvis Landry,WR,CROSS,27.520138025283813,0.28620266914367676,I,1.43466146869562
Terrance Mitchell,CB,Antonio Brown,WR,,6.739360094070435,0.8595283031463623,C,-1.37204354692126
Cameron Sutton,CB,Rashard Higgins,WR,GO,1.7390802502632141,0.06311627477407455,C,-2.1362887568148703
Cameron Sutton,CB,Josh Gordon,WR,GO,5.426511913537979,0.1035589650273323,C,-2.71816744758784
Damarious Randall,CB,Jesse James,TE,HITCH,-15.694588422775269,0.7679107785224915,I,0.250605385558476
Terrance Mitchell,CB,Justin Hunter,WR,OUT,1.1803805828094482,0.5657385587692261,I,0.45687625432406204
Genard Avery,LB,Antonio Brown,WR,,-3.8821041584014893,0.8642458319664001,C,0.7659805378162299
Morgan Burnett,SS,Jarvis Landry,WR,OUT,-1.4078795909881592,0.2072860151529312,C,-0.6473771606075279
Mike Hilton,CB,Jarvis Landry,WR,HITCH,17.504340410232544,0.4737396836280823,C,-0.107713136687575
Cameron Sutton,CB,Josh Gordon,WR,GO,0.14678938314318657,0.01230970025062561,IN,2.23748638728691
T.J. Watt,OLB,Jarvis Landry,WR,HITCH,-13.755294680595398,0.5376092791557312,C,0.3974743156400479
Sean Davis,SS,David Njoku,TE,GO,-4.192167520523071,0.21032993495464325,I,1.5678289833241401
Derrick Kindred,SS,James Conner,RB,OUT,-25.974684953689575,0.8875887393951416,C,-1.7557926765843401
Terrance Mitchell,CB,Antonio Brown,WR,GO,0.03294646739959717,0.19627745449543,I,0.478805767306161
Christian Kirksey,OLB,Antonio Brown,WR,GO,-63.957685232162476,0.8985674381256104,C,0.6966037372198659
T.J. Watt,OLB,Duke Johnson,RB,OUT,-14.189785718917847,0.9140481352806091,C,0.7840941186295891
Denzel Ward,CB,Antonio Brown,WR,GO,0.8105382323265076,0.10609167814254761,I,0.39972880325835297
Denzel Ward,CB,Antonio Brown,WR,SLANT,3.227114677429199,0.6050794124603271,C,-1.07037504861599
Joe Schobert,MLB,Jesse James,TE,OUT,-8.249235153198242,0.8752410411834717,C,-0.6627636851617571
Jamie Collins,OLB,James Conner,RB,FLAT,1.9072532653808594,0.9069669246673584,C,0.4039184969818789
Bud Dupree,OLB,Jarvis Landry,WR,CROSS,5.43028712272644,0.6438900232315063,I,0.24134162335330603
T.J. Watt,OLB,Tyrod Taylor,QB,,28.245827928185463,0.03685655817389488,I,0.43345926323684
Artie Burns,CB,Jarvis Landry,WR,POST,-20.795434713363647,0.7837737798690796,I,0.7590733274117959
Genard Avery,LB,Antonio Brown,WR,SLANT,-4.473757743835449,0.7226252555847168,C,-0.19875332065221601
Damarious Randall,CB,JuJu Smith-Schuster,WR,GO,3.221598267555237,0.161316379904747,I,0.16856858940154398
Genard Avery,LB,Ben Roethlisberger,QB,,-2.262859046459198,0.06395353376865387,S,4.30373528928127
Joe Schobert,MLB,Justin Hunter,WR,GO,-2.3638397455215454,0.15253815054893494,I,0.97618812485815
Kenny Moore,CB,Joe Mixon,HB,FLAT,36.21160089969635,0.4963938295841217,IN,6.62575900417933
Preston Brown,MLB,Jack Doyle,TE,HITCH,4.744046926498413,0.6633069515228271,IN,3.7717529552513795
Nate Hairston,CB,Tyler Eifert,TE,WHEEL,6.327712535858154,0.8433547019958496,C,-2.94564770122725
Malik Hooker,FS,Joe Mixon,HB,SCREEN,-4.61164116859436,0.9451672434806824,C,-1.7285071321364298
Nate Hairston,CB,A.J. Green,WR,OUT,-2.997255325317383,0.8782942891120911,C,-0.541026912384461
Nate Hairston,CB,John Ross,WR,GO,-4.954200983047485,0.5524307489395142,I,0.473975947279459
Darius Leonard,LB,Andy Dalton,QB,,48.4117329120636,0.1651034951210022,I,1.04808834348704
Dre Kirkpatrick,CB,Ryan Grant,WR,IN,49.83121156692505,0.28251731395721436,C,0.323572091550218
Preston Brown,MLB,Ryan Grant,WR,HITCH,-4.13813591003418,0.8560563921928406,C,0.110245416415666
Darqueze Dennard,CB,Chester Rogers,WR,SLANT,-0.48815011978149414,0.8797973990440369,C,-1.88952218114632
Darqueze Dennard,CB,Chester Rogers,WR,SCREEN,-0.31062960624694824,0.9722614884376526,C,0.22149007553686897
Jordan Evans,OLB,Ryan Grant,WR,IN,-3.0320048332214355,0.8661320805549622,C,-1.07317375429824
Clayton Fejedelem,FS,Eric Ebron,TE,POST,5.965816974639893,0.776165246963501,I,0.169671152839606
