name,position,n_throws,inc_rate,int_rate,epa,eir,irae,ipa,raw_score,overall_score
Mike Hilton,CB,64.0,40.62,1.56,0.28,37.82,2.8,7.55,250,56.38
Desmond Trufant,CB,90.0,42.22,2.22,-0.13,38.34,3.89,7.89,254,55.45
Jaire Alexander,CB,82.0,41.46,2.44,-0.23,46.94,-5.47,15.33,255,55.22
Carlton Davis,CB,63.0,46.03,0.0,-0.3,46.02,0.01,11.66,260,54.06
Eli Apple,CB,104.0,45.19,0.0,-0.31,47.19,-2.0,12.78,261,53.83
Pierre Desir,CB,61.0,44.26,1.64,-0.14,38.45,5.82,6.18,267,52.44
Nevin Lawson,CB,76.0,44.74,0.0,-0.32,41.21,3.53,11.41,270,51.74
Adoree' Jackson,CB,100.0,41.0,2.0,-0.16,46.47,-5.47,10.82,272,51.28
Malcolm Butler,CB,82.0,40.24,3.66,-0.13,45.28,-5.04,6.81,280,49.42
Darryl Roberts,CB,53.0,41.51,1.89,-0.07,36.45,5.06,6.22,280,49.42
Coty Sensabaugh,CB,54.0,46.3,0.0,-0.18,44.86,1.44,5.9,282,48.96
Josh Norman,CB,72.0,40.28,4.17,-0.26,42.02,-1.74,8.79,283,48.72
Michael Davis,CB,61.0,42.62,0.0,-0.17,41.11,1.51,9.53,283,48.72
Fabian Moreau,CB,80.0,45.0,0.0,-0.37,41.01,3.99,9.45,286,48.03
Ronald Darby,CB,66.0,39.39,0.0,-0.04,38.46,0.94,9.35,288,47.56
Gareon Conley,CB,50.0,42.0,6.0,-0.32,44.49,-2.49,6.29,289,47.33
Chidobe Awuzie,CB,84.0,42.86,2.38,-0.37,48.42,-5.57,8.4,293,46.4
Shaquill Griffin,CB,69.0,40.58,2.9,-0.29,38.47,2.1,7.06,297,45.48
Logan Ryan,CB,61.0,39.34,1.64,-0.09,35.77,3.57,6.95,301,44.55
D.J. Hayden,CB,53.0,33.96,3.77,0.13,31.61,2.35,4.41,301,44.55
Damarious Randall,CB,46.0,39.13,8.7,-0.17,36.71,2.42,1.28,301,44.55
Jalen Mills,CB,46.0,43.48,0.0,-0.55,46.78,-3.3,12.09,301,44.55
Jonathan Jones,CB,73.0,36.99,4.11,-0.2,34.87,2.12,6.94,302,44.32
Anthony Brown,CB,59.0,32.2,3.39,-0.27,43.56,-11.36,14.09,302,44.32
Xavier Rhodes,CB,66.0,42.42,1.52,-0.21,42.1,0.32,7.59,304,43.85
Kenny Moore,CB,98.0,33.67,3.06,0.11,26.92,6.75,3.62,306,43.39
Marcus Peters,CB,68.0,36.76,5.88,-0.32,43.14,-6.37,8.8,308,42.92
Tre Flowers,CB,63.0,44.44,1.59,-0.39,42.91,1.54,6.34,309,42.69
Richard Sherman,CB,48.0,47.92,0.0,-0.28,39.77,8.15,-0.53,309,42.69
Kendall Fuller,CB,106.0,35.85,1.89,-0.1,35.94,-0.09,10.66,311,42.23
Taron Johnson,CB,50.0,36.0,2.0,0.14,32.2,3.8,4.71,312,42.0
Justin Coleman,CB,84.0,35.71,1.19,-0.04,27.58,8.13,6.57,322,39.68
Captain Munnerlyn,CB,77.0,36.36,1.3,0.08,32.0,4.37,4.69,330,37.82
A.J. Bouye,CB,64.0,37.5,1.56,-0.07,40.22,-2.72,7.02,330,37.82
Quandre Diggs,CB,55.0,34.55,3.64,-0.22,36.25,-1.7,8.54,330,37.82
Mackensie Alexander,CB,66.0,36.36,0.0,0.11,27.8,8.57,1.62,331,37.59
P.J. Williams,CB,82.0,36.59,1.22,-0.03,37.81,-1.23,7.37,334,36.89
Desmond King,CB,84.0,25.0,3.57,0.21,23.9,1.1,2.69,335,36.66
Sidney Jones,CB,54.0,37.04,0.0,-0.05,32.87,4.17,4.82,344,34.57
Josh Jackson,CB,67.0,38.81,0.0,-0.42,37.95,0.86,9.75,352,32.71
Bradley Roby,CB,76.0,38.16,1.32,-0.54,43.35,-5.19,9.93,353,32.48
Robert Alford,CB,78.0,37.18,0.0,-0.7,47.78,-10.6,10.34,356,31.79
Briean Boddy-Calhoun,CB,57.0,26.32,3.51,-0.02,25.64,0.68,2.18,359,31.09
Bryce Callahan,CB,55.0,27.27,3.64,-0.15,27.8,-0.52,6.06,359,31.09
Brian Poole,CB,76.0,28.95,2.63,-0.26,23.22,5.73,4.86,363,30.16
Marshon Lattimore,CB,82.0,40.24,1.22,-0.43,44.32,-4.08,6.99,364,29.93
Bobby McCain,CB,71.0,38.03,1.41,-0.42,32.56,5.47,5.84,367,29.23
Jimmy Smith,CB,58.0,37.93,1.72,-0.26,42.41,-4.48,5.8,370,28.54
Rasul Douglas,CB,66.0,36.36,3.03,-0.22,35.46,0.91,0.41,372,28.07
Brent Grimes,CB,50.0,38.0,0.0,-0.68,43.77,-5.77,9.1,374,27.61
Shareece Wright,CB,45.0,42.22,0.0,-0.36,42.27,-0.04,2.79,378,26.68
Buster Skrine,CB,74.0,35.14,0.0,-0.33,35.66,-0.52,9.99,380,26.22
Trae Waynes,CB,46.0,30.43,2.17,-0.32,40.79,-10.36,6.98,394,22.97
Bene' Benwikere,CB,51.0,31.37,1.96,-0.13,35.23,-3.85,4.63,400,21.58
Darqueze Dennard,CB,71.0,26.76,0.0,-0.2,27.69,-0.93,5.14,431,14.39
K'Waun Williams,CB,49.0,20.41,2.04,-0.44,25.36,-4.95,4.27,470,5.34
M.J. Stewart,CB,47.0,21.28,0.0,-0.37,28.87,-7.6,3.42,493,0.0
