name,position,n_throws,inc_rate,int_rate,epa,eir,irae,ipa,raw_score,overall_score
Zach Cunningham,ILB,77.0,31.17,1.3,-0.1,28.15,3.02,0.85,246,47.37
Zach Brown,ILB,48.0,31.25,0.0,-0.14,23.07,8.18,3.51,251,46.22
T.J. Watt,OLB,38.0,31.58,0.0,-0.02,33.91,-2.33,2.43,251,46.22
C.J. Mosley,ILB,70.0,32.86,1.43,-0.33,30.06,2.8,2.01,254,45.54
Anthony Walker,ILB,52.0,26.92,1.92,-0.22,27.35,-0.43,4.66,262,43.71
Kyle Van Noy,OLB,80.0,30.0,0.0,0.1,31.04,-1.04,2.39,262,43.71
Genard Avery,LB,55.0,29.63,0.0,0.02,28.27,1.36,2.72,264,43.25
Jordan Hicks,MLB,53.0,26.42,1.89,-0.14,26.13,0.29,3.77,268,42.33
Samson Ebukam,OLB,35.0,28.57,0.0,0.07,27.64,0.94,0.43,271,41.65
Jamie Collins,OLB,61.0,22.95,3.28,-0.15,26.12,-3.17,4.7,274,40.96
Adarius Taylor,MLB,44.0,27.27,2.27,-0.39,29.42,-2.15,4.43,275,40.73
Tahir Whitehead,OLB,65.0,30.77,0.0,-0.13,25.21,5.56,1.59,275,40.73
Luke Kuechly,MLB,77.0,28.57,1.3,0.02,30.03,-1.45,0.07,278,40.05
Vic Beasley,OLB,45.0,26.67,0.0,-0.01,24.16,2.51,2.5,280,39.59
Nicholas Morrow,ILB,34.0,26.47,0.0,-0.05,24.1,2.37,3.67,283,38.9
Thomas Davis,OLB,47.0,21.28,0.0,0.03,27.25,-5.97,5.13,283,38.9
Nick Vigil,OLB,74.0,29.73,0.0,-0.12,24.38,5.35,1.51,287,37.99
Jarrad Davis,MLB,52.0,30.77,0.0,-0.09,24.32,6.45,2.36,287,37.99
Haason Reddick,ILB,59.0,27.12,0.0,0.0,23.72,3.4,3.18,290,37.3
Duke Riley,OLB,35.0,22.86,2.86,-0.3,21.1,1.75,5.44,290,37.3
B.J. Goodson,ILB,34.0,23.53,0.0,-0.28,29.54,-6.01,8.43,298,35.47
Preston Brown,MLB,35.0,22.86,8.57,-0.13,18.74,4.12,-2.02,300,35.01
Christian Kirksey,OLB,39.0,23.08,5.13,-0.33,28.36,-5.29,1.88,304,34.1
Josey Jewell,LB,30.0,26.67,0.0,-0.66,26.19,0.47,6.41,304,34.1
Darius Leonard,LB,119.0,23.53,2.52,0.07,23.54,-0.01,0.11,306,33.64
Wesley Woodyard,ILB,39.0,28.21,0.0,-0.34,27.88,0.32,1.77,311,32.49
Marquel Lee,MLB,30.0,26.67,3.33,-0.39,22.78,3.89,0.2,312,32.27
Anthony Hitchens,MLB,51.0,25.49,0.0,-0.39,24.07,1.42,6.04,312,32.27
Jon Bostic,ILB,41.0,26.83,0.0,-0.31,27.38,-0.56,4.96,315,31.58
Avery Williamson,ILB,64.0,28.12,0.0,-0.37,24.7,3.43,2.72,316,31.35
Telvin Smith,OLB,80.0,23.75,1.25,-0.04,25.37,-1.62,1.06,317,31.12
Josh Bynes,ILB,56.0,30.36,0.0,-0.27,32.43,-2.07,0.46,320,30.43
Nigel Bradham,OLB,79.0,24.05,1.27,-0.15,21.48,2.57,1.95,321,30.21
Leighton Vander Esch,LB,93.0,19.35,3.23,0.1,21.65,-2.3,1.46,322,29.98
Lavonte David,OLB,85.0,22.35,1.18,-0.0,23.73,-1.37,2.4,324,29.52
Ryan Kerrigan,OLB,38.0,26.32,0.0,-0.18,25.47,0.84,0.54,327,28.83
Jerome Baker,LB,56.0,21.43,1.79,-0.26,21.56,-0.13,4.46,329,28.38
De'Vondre Campbell,OLB,54.0,20.37,1.85,-0.18,20.58,-0.21,4.41,332,27.69
Mason Foster,ILB,62.0,16.13,1.61,-0.14,20.39,-4.26,4.35,349,23.8
Shaq Thompson,OLB,58.0,20.69,0.0,-0.16,26.0,-5.31,3.36,352,23.11
Hardy Nickerson,MLB,46.0,19.57,0.0,-0.4,30.4,-10.83,5.58,352,23.11
Jatavis Brown,OLB,61.0,22.95,0.0,-0.16,22.62,0.33,3.55,354,22.65
Raekwon McMillan,LB,49.0,22.45,0.0,-0.5,27.96,-5.51,3.48,355,22.43
Elijah Lee,LB,44.0,20.45,0.0,-0.13,22.28,-1.82,3.99,367,19.68
Anthony Barr,OLB,35.0,22.86,0.0,-0.26,19.17,3.69,1.46,367,19.68
Dont'a Hightower,MLB,45.0,22.22,2.22,-0.24,24.81,-2.59,-2.3,368,19.45
Foye Oluokun,LB,46.0,21.74,0.0,-0.28,26.21,-4.47,2.73,377,17.39
Jaylon Smith,MLB,66.0,24.24,0.0,-0.2,24.19,0.05,-0.12,384,15.79
Demario Davis,ILB,96.0,19.79,0.0,-0.1,19.31,0.48,-0.85,386,15.33
Whitney Mercilus,OLB,48.0,12.5,0.0,-0.32,19.17,-6.67,-2.17,442,2.52
Kwon Alexander,MLB,34.0,11.76,0.0,-0.24,17.91,-6.14,0.11,453,0.0
